query,n_relevant,n_retrieved,n_filters_applied,n_hits,hit,precision_at_k,recall_at_k,filters_applied,retrieved_row_uids,retrieved_titles
cheap laptop under $400 for basic tasks,228,5,1,4,True,0.8,0.017543859649122806,price_usd < 400,0713d01cec5e34cfcee0c0e4d6e734ef|1a6b82a671d8823330ceca126e938acf|4943a378b44dfbb9506a9f3c2cb56f28|8c6c62a3dc168b167d722be33a953642|8cf269010645cd246adaba72db7c46f0,"Dell Latitude 5400 Laptop Intel Core i5-8365U 16GB RAM 256GB SSD 14.0"" FHD Windows 11 Pro | Lenovo IdeaPad 110-15IBR | Lenovo IdeaPad 100S-14IBR | Lenovo IdeaPad 320-15IAP | DELL Latitude 7400 Laptop Intel Core i5-8365U (1.60GHz) 16 GB Memory 256 GB SSD Intel UHD Graphics 14.0"" Windows 11 Pro"
gaming laptop with NVIDIA RTX under $1200,3,5,2,1,True,0.2,0.3333333333333333,price_usd < 1200 | gpu contains NVIDIA/RTX/GeForce,13b358fed67db76714c6854ae15db1dd|3d478091675e825f04812820f0b9c442|66bd42d1317eb4ce0b32e0dbb006935d|fba20a090e4b8cb2ddac280bdd2a0939|fd111fd79863cfbe5141d051e1dfcc97,"ASUS TUF 16 WUXGA 144Hz Gaming Laptop | AMD Ryzen 7 7445HS 3.2GHz | NVIDIA GeForce RTX 4050 | Backlit | Webcam | 16GB RAM DDR5 | 512GB SSD | Windows 11 Home | Bundle with USB 3.0 Hub | Asus Rog GL552VW-DM201T | Asus FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce | Acer 16"" Nitro V Gaming Laptop | MSI GV62M 7RD"
lightweight ultrabook under 3 lbs,138,0,2,0,False,0.0,0.0,price_usd < 3 | NO DEVICES SATISFY ALL EXPLICIT FILTERS,,
laptop with 32GB RAM and 1TB SSD,113,5,3,5,True,1.0,0.04424778761061947,ram_gb >= 32 | storage contains SSD/PCIe/NVMe | storage contains 1tb,67948fcb0def802ca4e0169cfeb4a71d|74f79c4c85c9aa57f7a1b36496cd6b8c|8aff5a73d228625f39980bf026458c3a|a70e029d7e398ffc2a3f0f8750971835|cb3fd80aac830db061a96a6a4897d14f,"Dell DC15250 15.6"" Full Touchscreen Laptop, 13th Gen Intel i5-1334U, 32GB RAM, 1TB SSD, Windows 11 Home + Copilot AI Ready, HUB | HP EliteBook 865 G10 16"" Laptop, AMD Ryzen 7 PRO 7840U 3.3GHz, 32GB DDR5 RAM, 1TB NVMe NVMe, Thunderbolt 4, Webcam, Windows 11 Pro (Grade B) | Dell Plus 16"" Touchscreen Laptop - Intel Core Ultra 9 288V - 1920 x 1200 - Windows 11 Home - 32GB RAM - 1TB SSD | Lenovo ThinkPad X1 Copilot+ 2-in-1 Laptop, 14"" FHD+ Touchscreen, Intel Core Ultra 7 258V, Intel Arc Graphics, 32GB RAM, 1TB SSD, Fingerprint, Backlit, Wi-Fi 7, 1080P IR Camera, Windows 11 Pro | Dell Latitude 5520 15.6"" Laptop, i5 1145G7 2.6Ghz, 32GB DDR4, 1TB NVMe SSD, HDMI, Thunderbolt 3, Webcam, Windows 11 Pro"
AMD Ryzen laptop under $600,35,5,2,5,True,1.0,0.14285714285714285,price_usd < 600 | cpu contains Ryzen/AMD,0d0ba6adcd0cd4b135a540a31b47a653|10b95e4c5fcae28ca026c6dd22f726eb|6d366dbe8ce0a281f498495a22e3d31a|b45d1fee8a2201e287f4be1d5db0ac08|e279cb3f6c0ecf6ed805a79ff1958e3d,"Lenovo Notebooks IdeaPad AMD Ryzen 7 5700U (1.80GHz) 12GB Memory 512 GB SSD AMD Radeon Graphics 15.6"" Touchscreen Windows 11 Home | Lenovo IdeaPad 1 15.6"" FHD Laptop, AMD Ryzen 5 7520U, 8GB RAM, 512GB SSD, Windows 11 Home, Blue | Lenovo V15 G4 Laptop - 15.6 Inch FHD (1920x1080) Non-Touch Display, AMD Ryzen 3 7320U Processor, 16GB RAM - 512GB PCIe SSD, AMD Radeon 610M Graphics, Windows 11 Home, Black (83CQ0025US) | HP EliteBook 845 G9 14"" Laptop, AMD Ryzen 7 PRO 6850U 2.7GHz, 16GB DDR5 RAM, 512GB NVMe M.2 SSD, Full HD, Webcam, Windows 11 Pro (Grade BLCD) | HP 15.6"" HD Laptop - AMD Ryzen 3 3250U - 4GB Memory - 128GB SSD + 1TB HDD - Windows 10, Natural Silver 256 GB 16GB"
Intel Core i7 laptop with NVIDIA graphics,202,5,2,2,True,0.4,0.009900990099009901,gpu contains NVIDIA/RTX/GeForce | cpu contains i7,30af0a3b7361fe4a1d11c9c3eef60d1e|3a36eba0634905341aabf221d7dfba49|94e83b1771467d3d227f6bc8b35c1409|d7d848bc633aa5d3044e30bb75305339|de7eed19671b6b51401ae3c551b81881,"Dell Precision 3571, Intel Core i7-12800H 2.4GHz, 32GB, 512GB NVMe SSD, 15.6"" FHD, Windows 11 Pro 64-bit, NVIDIA RTX A1000 4GB | Asus FX753VD-GC461T (i7-7700HQ/16GB/1TB | Asus FX753VD-GC007T (i7-7700HQ/8GB/1TB | MSI Thin 15 Gaming Laptop, 15.6"" FHD 144Hz Display, Intel Core i7-13620H, NVIDIA GeForce RTX 4050, 64GB RAM, 1TB SSD, Backlit Keyboard, Webcam, Wi-Fi 6E, Windows 11 Home, Black, w/Bundle | HP 15.6"" Victus 15-fa2777nr Gaming Notebook"
Intel Core i5 laptop under $700,140,5,2,5,True,1.0,0.03571428571428571,price_usd < 700 | cpu contains i5,05e3156c0ab56430452e6a95845aa1cd|6782084b4e28ec5dd507ee11da05dd55|aef10e62e500e6ba26e57c749ac5747f|e425a66376d411bd32dcdeee89439acc|f1a84af6712b22d21a2f6cdaa3fba066,"Dell Latitude 3590 15.6"" Intel Core i5-8250U 1.60GHz - 8GB RAM, 256GB SSD, Windows 10 Pro - Webcam - Bluetooth | Lenovo ThinkPad X1 Carbon G7 14"" Intel Core i5-8365, 16GB RAM, 256GB SSD, W11P | Dell Latitude 7400 Core i5-8365U 1.60GHz 16GB 512GB Laptop Condition Good W11P | Dell Latitude 5590 Core i5-7300U 2.60GHz 16GB 256GB SSD 15"" Laptop Grade B | Dell Inspiron 3567"
laptop with a 1TB SSD under $900,27,5,3,5,True,1.0,0.18518518518518517,price_usd < 900 | storage contains SSD/PCIe/NVMe | storage contains 1tb,2ebe99dbfef89b2fca11fdb78d62d57d|373fd7ab01f466ae5cd9e4ab74c0aba2|3dfb022fe185fb2318bde7526f15b60a|6e91f5747160304b86d4b46c16937e32|8c40675a41da7723bf04ed694dc23632,"Lenovo IdeaPad Slim 3i 15.6"" Laptop, Intel Processor N100, 4GB RAM, 128 SSD, Artic Grey | Lenovo IdeaPad 320-17IKB | BiTECOOL Laptop Computer 15.6 inch, Intel Quad Core N95, 12GB LPDDR5 RAM 1TB NVMe SSD Laptop with FHD IPS Display, WiFi 5, BT5.0, USB Type C and Fingerprint, 2 Years Warranty, Windows 11 Pro | HP 15-BW091ND (A9-9420/6GB/1TB | Dell Inspiron 15 3520 Business Laptop, 15.6"" FHD Display, Intel Core i3-1215U 6 Cores Processor, Intel UHD Graphics, 16GB DDR4 1TB PCIe SSD, 720p HD camera, Wi-Fi and Bluetooth, Windows 11 Pro"
touchscreen 2-in-1 convertible laptop,78,5,0,0,False,0.0,0.0,,18d718a0086bee68ac769aa21a61f9fc|44f5d837904a88ae416a122606fea334|5e89078b3bb3882f0d6039c95e024917|814f70d09a298131e52b2a76ea22d6b2|88499bca016eac02c4f98389ad3b54ac,"Dell Newest Inspiron 15 Business Laptop - with Microsoft Office Lifetime License, 15.6"" FHD Touchscreen Display, Intel 10-Core i5-1235U Processor, 32GB RAM, 1TB SSD, HD Webcam, Wi-Fi, Windows 11 Pro | HP 14"" EliteBook X Flip G1i Multi-Touch 2-in-1 Laptop (Wi-Fi Only) | Lenovo 14"" ThinkBook 14 G5 IAU 2-in-1 Multi-Touch Laptop | Lenovo ThinkPad T14 Business AI Laptop, 14"" FHD+ Touchscreen, Intel Core Ultra 5 225U, 32GB DDR5, 1TB SSD, Fingerprint, Backlit Keyboard, 5MP Webcam, Wi-Fi 6E, HDMI, Windows 11 Pro | Dell 14"" Pro 14 Multi-Touch Laptop"
premium laptop over $1500 with 32GB RAM,66,4,2,2,True,0.5,0.030303030303030304,price_usd > 1500 | ram_gb >= 32,07a183e4bbe5d7f5066c295776f4a51d|0e1501d0000ed5787131bc490f3b5d38|1ca3b9b2ef1f3f194b218f49520f29b5|95685531db3bea3cb7052e58561a1032,"Dell XPS 15 | Dell 16"" Pro Max 16 Premium Laptop | Toshiba Portege X30-D-10L | Dell 16"" Pro Max 16 Premium Laptop | Dell 16"" Pro Max 16 Plus Notebook"
